Coin,Description,Rank,Price,Price - Currency,Price Change % 24 hours,Market capitalization,Market capitalization - Currency,Volume in USD 24 hours,Volume in USD 24 hours - Currency,Circulating supply,Volume / Market Capitalization,Social dominance %,Category,Technical Rating 1 day
BTC-USD,Bitcoin,1,116642.37,USD,1.4964347748225500,2321597593340.61,USD,69892817482.34210,USD,19903553,0.03010548325981480,18.57255655470410,"Cryptocurrencies, Layer 1",Buy
ETH-USD,Ethereum,2,3893.04,USD,4.623757054555230,469925851296.35700,USD,44267522155.49800,USD,120709227.56929200,0.09420107881568930,12.653599132143500,"Smart contract platforms, Layer 1, World Liberty Financial portfolio",Buy
XRP-USD,XRP,3,3.3162,USD,10.466511162945700,196678469404.485,USD,11800700377.206500,USD,59308385925,0.05999996040714280,4.161239605773570,"Cryptocurrencies, Enterprise solutions, Layer 1, Made in America",Buy
USDT-USD,Tether USDt,4,1.0001,USD,-0.009998000399918920,164358435341.4480,USD,131725648767.91000,USD,164342001141.33300,0.8014535335181060,0.8310649106058080,"Stablecoins, Asset-backed stablecoins, Fiat-backed stablecoins, World Liberty Financial portfolio",Sell
BNB-USD,BNB,5,785.14,USD,2.565878003213890,109360645620.09400,USD,2359096880.7656600,USD,139288083.17000000,0.021571716840086000,1.1981530839310500,"Smart contract platforms, Centralized exchange, Layer 1, Exchange tokens",Buy
SOL-USD,Solana,6,175.35,USD,3.532817392331770,94558473158.4729,USD,6666230069.786030,USD,539255621.091947,0.07049849523917260,9.7711846302921,"Smart contract platforms, Layer 1, Made in America",Buy
USDC-USD,USDC,7,1.00001,USD,0.010001200144016200,64745007655.140400,USD,15824379343.887500,USD,64744360211.538200,0.24441080350434000,2.0250774576156900,"Stablecoins, Asset-backed stablecoins, Made in America, Fiat-backed stablecoins, World Liberty Financial portfolio",Strong buy
DOGE-USD,Dogecoin,8,0.22216,USD,7.8806724322223200,33419594644.603900,USD,2924830192.7573200,USD,150430296383.7050,0.08751842216702580,2.7731190625970000,"Memes, Cryptocurrencies, Layer 1, Made in America, Animal memes",Buy
TRX-USD,TRON,9,0.33837,USD,-0.3152436509339510,32043980346.28100,USD,1290617440.4759300,USD,94701008795.93640,0.04027643964728970,0.4644499415001280,"Smart contract platforms, Payments, Layer 1, World Liberty Financial portfolio",Buy
ADA-USD,Cardano,10,0.79487,USD,7.239941151857890,28160121008.45690,USD,1543163756.7277600,USD,35427329007.833800,0.05479961383206860,2.432742892768380,"Smart contract platforms, Layer 1, Made in America",Buy
XLM-USD,Stellar,11,0.46068,USD,14.659829230041600,14402318191.06570,USD,1044015615.954150,USD,31263172247.689700,0.07248941469726700,0.4693002847506390,"Cryptocurrencies, Smart contract platforms, Layer 1, Made in America, Real-world assets, Exchange tokens",Strong buy
SUI-USD,Sui,13,3.7882,USD,8.123073410206640,13303872313.507100,USD,1975282580.0854100,USD,3511924479.5700000,0.14847425873743200,1.4858612494247600,"Smart contract platforms, Developments tools, Scaling, Layer 1, Made in America, World Liberty Financial portfolio",Buy
LINK-USD,Chainlink,14,19.226,USD,14.033109832077400,13037150031.925300,USD,1505581030.32935,USD,678099970.4527870,0.11548390765178700,1.6992763524472300,"Oracles, Data management and AI, Interoperability, Web3, Made in America, Real-world assets, World Liberty Financial portfolio",Strong buy
WETH-USD,WETH,206,3872.95,USD,3.8630695379334300,13072436270.44180,USD,1742997412.0762200,USD,3375317.5926469,0.13333378537995400,0.010410492830364600,"Privacy, Wrapped tokens, DePIN, Rehypothecated assets",Buy
